idx,uniqueid,id,maxclass,numinlets,numoutlets,patchx,patchy,parent,abstype,text,displayname
284,obj-77_obj-9_root,obj-77,newobj,2,1,58.0,381.0,obj-9_root,standard,*~ 1,*~ 1
285,obj-23_obj-9_root,obj-23,message,2,1,220.0,229.0,obj-9_root,standard,1,1
286,obj-22_obj-9_root,obj-22,message,2,1,126.0,229.0,obj-9_root,standard,1,1
287,obj-21_obj-9_root,obj-21,message,2,1,72.0,229.0,obj-9_root,standard,1,1
288,obj-17_obj-9_root,obj-17,message,2,1,226.0,193.0,obj-9_root,standard,pause,pause
289,obj-15_obj-9_root,obj-15,message,2,1,130.0,193.0,obj-9_root,standard,pause,pause
290,obj-12_obj-9_root,obj-12,message,2,1,58.0,193.0,obj-9_root,standard,pause,pause
291,obj-49_obj-1_obj-9_root,obj-49,inlet,0,1,820.5,65.0,obj-1_obj-9_root,standard,,inlet
292,obj-48_obj-1_obj-9_root,obj-48,inlet,0,1,426.5,61.0,obj-1_obj-9_root,standard,,inlet
293,obj-47_obj-1_obj-9_root,obj-47,inlet,0,1,139.0,61.0,obj-1_obj-9_root,standard,,inlet
294,obj-45_obj-1_obj-9_root,obj-45,outlet,1,0,841.0,730.0,obj-1_obj-9_root,standard,,outlet
295,obj-46_obj-1_obj-9_root,obj-46,outlet,1,0,806.0,730.0,obj-1_obj-9_root,standard,,outlet
296,obj-43_obj-1_obj-9_root,obj-43,outlet,1,0,450.0,725.0,obj-1_obj-9_root,standard,,outlet
297,obj-44_obj-1_obj-9_root,obj-44,outlet,1,0,415.0,725.0,obj-1_obj-9_root,standard,,outlet
298,obj-42_obj-1_obj-9_root,obj-42,outlet,1,0,62.0,725.0,obj-1_obj-9_root,standard,,outlet
299,obj-41_obj-1_obj-9_root,obj-41,outlet,1,0,27.0,725.0,obj-1_obj-9_root,standard,,outlet
300,obj-40_obj-1_obj-9_root,obj-40,number,1,2,820.5,186.0,obj-1_obj-9_root,standard,,number
301,obj-39_obj-1_obj-9_root,obj-39,number,1,2,426.5,186.0,obj-1_obj-9_root,standard,,number
302,obj-32_obj-1_obj-9_root,obj-32,newobj,2,1,901.5,618.0,obj-1_obj-9_root,standard,+ 1,+ 1
303,obj-33_obj-1_obj-9_root,obj-33,number,1,2,975.0,586.0,obj-1_obj-9_root,standard,,number
304,obj-34_obj-1_obj-9_root,obj-34,newobj,2,2,975.0,556.0,obj-1_obj-9_root,standard,zl.len,zl.len
305,obj-35_obj-1_obj-9_root,obj-35,newobj,1,1,975.0,526.0,obj-1_obj-9_root,standard,dict.unpack clips:,dict.unpack clips:
306,obj-36_obj-1_obj-9_root,obj-36,newobj,2,1,901.5,589.0,obj-1_obj-9_root,standard,random 10,random 10
307,obj-37_obj-1_obj-9_root,obj-37,button,1,1,899.5,558.0,obj-1_obj-9_root,standard,,button
308,obj-38_obj-1_obj-9_root,obj-38,newobj,2,2,899.5,526.0,obj-1_obj-9_root,standard,sel done,sel done
309,obj-25_obj-1_obj-9_root,obj-25,newobj,2,1,502.5,618.0,obj-1_obj-9_root,standard,+ 1,+ 1
310,obj-26_obj-1_obj-9_root,obj-26,number,1,2,576.0,586.0,obj-1_obj-9_root,standard,,number
311,obj-27_obj-1_obj-9_root,obj-27,newobj,2,2,576.0,556.0,obj-1_obj-9_root,standard,zl.len,zl.len
312,obj-28_obj-1_obj-9_root,obj-28,newobj,1,1,576.0,526.0,obj-1_obj-9_root,standard,dict.unpack clips:,dict.unpack clips:
313,obj-29_obj-1_obj-9_root,obj-29,newobj,2,1,502.5,589.0,obj-1_obj-9_root,standard,random 10,random 10
314,obj-30_obj-1_obj-9_root,obj-30,button,1,1,500.5,558.0,obj-1_obj-9_root,standard,,button
315,obj-31_obj-1_obj-9_root,obj-31,newobj,2,2,500.5,526.0,obj-1_obj-9_root,standard,sel done,sel done
316,obj-24_obj-1_obj-9_root,obj-24,newobj,1,1,27.0,69.0,obj-1_obj-9_root,standard,deferlow,deferlow
317,obj-23_obj-1_obj-9_root,obj-23,newobj,1,1,27.0,31.0,obj-1_obj-9_root,standard,loadbang,loadbang
318,obj-22_obj-1_obj-9_root,obj-22,newobj,2,1,117.5,618.0,obj-1_obj-9_root,standard,+ 1,+ 1
319,obj-20_obj-1_obj-9_root,obj-20,number,1,2,47.5,186.0,obj-1_obj-9_root,standard,,number
320,obj-12_obj-1_obj-9_root,obj-12,message,2,1,27.0,101.0,obj-1_obj-9_root,standard,getcontent,getcontent
321,obj-9_obj-1_obj-9_root,obj-9,number,1,2,191.0,586.0,obj-1_obj-9_root,standard,,number
322,obj-8_obj-1_obj-9_root,obj-8,newobj,2,2,191.0,556.0,obj-1_obj-9_root,standard,zl.len,zl.len
323,obj-10_obj-1_obj-9_root,obj-10,newobj,1,1,191.0,526.0,obj-1_obj-9_root,standard,dict.unpack clips:,dict.unpack clips:
324,obj-7_obj-1_obj-9_root,obj-7,newobj,2,1,117.5,589.0,obj-1_obj-9_root,standard,random 10,random 10
325,obj-6_obj-1_obj-9_root,obj-6,button,1,1,115.5,558.0,obj-1_obj-9_root,standard,,button
326,obj-4_obj-1_obj-9_root,obj-4,newobj,2,2,115.5,526.0,obj-1_obj-9_root,standard,sel done,sel done
327,obj-3_obj-1_obj-9_root,obj-3,playlist~,1,5,797.0,217.0,obj-1_obj-9_root,standard,,playlist~
328,obj-2_obj-1_obj-9_root,obj-2,playlist~,1,5,410.0,217.0,obj-1_obj-9_root,standard,,playlist~
329,obj-1_obj-1_obj-9_root,obj-1,playlist~,1,5,27.0,217.0,obj-1_obj-9_root,standard,,playlist~
330,obj-1_obj-9_root,obj-1,newobj,3,6,58.0,286.0,obj-9_root,abstraction,lh.testPacks,lh.testPacks
331,obj-9_root,obj-9,newobj,0,0,931.09762125,513.0,root,abstraction,lh.matcher,lh.matcher
332,obj-8_root,obj-8,panel,1,0,922.0,655.0,root,standard,,panel
333,obj-8_obj-6_root,obj-8,newobj,1,3,263.0,347.0,obj-6_root,standard,notein "Xkey Xkey  ",notein "Xkey Xkey  "
334,obj-4_obj-6_root,obj-4,newobj,3,0,263.0,405.0,obj-6_root,standard,noteout "VoiceLive 2",noteout "VoiceLive 2"
335,obj-7_obj-6_root,obj-7,outlet,1,0,-30.0,418.0,obj-6_root,standard,,outlet
336,obj-10_obj-6_root,obj-10,newobj,0,1,100.0,403.0,obj-6_root,standard,r toVoiceLiveTempo,r toVoiceLiveTempo
337,obj-6_obj-6_root,obj-6,number,1,2,165.0,148.0,obj-6_root,standard,,number
338,obj-3_obj-6_root,obj-3,newobj,2,1,51.0,233.0,obj-6_root,standard,119,119
339,obj-12_obj-6_root,obj-12,newobj,0,1,165.0,107.0,obj-6_root,standard,r harmHold,r harmHold
340,obj-11_obj-6_root,obj-11,button,1,1,51.0,178.0,obj-6_root,standard,,button
341,obj-5_obj-6_root,obj-5,newobj,2,1,51.0,300.0,obj-6_root,standard,pak i i,pak i i
342,obj-2_obj-6_root,obj-2,newobj,7,2,51.0,372.0,obj-6_root,standard,midiformat,midiformat
343,obj-1_obj-6_root,obj-1,newobj,1,0,51.0,439.0,obj-6_root,standard,midiout "VoiceLive 2",midiout "VoiceLive 2"
344,obj-6_root,obj-6,newobj,0,1,222.0,518.5,root,abstraction,lh.voicelive2,lh.voicelive2
345,obj-10_root,obj-10,matrixctrl,1,2,420.8476212500001,123.25,root,standard,,matrixctrl
346,obj-5_root,obj-5,newobj,1,1,942.5976212500001,230.945557,root,standard,receive~ pulsarR,receive~ pulsarR
347,obj-20_root,obj-20,newobj,1,1,862.5976212500001,185.945557,root,standard,receive~ pulsarL,receive~ pulsarL
348,obj-2_root,obj-2,newobj,1,8,469.8476212500001,205.25,root,standard,adc~ 1 2 3 4 5 6 7 8,adc~ 1 2 3 4 5 6 7 8
349,obj-289_root,obj-289,comment,1,0,250.333344,225.5,root,standard,no slices,no slices
350,obj-277_root,obj-277,newobj,3,3,743.5571439999999,-284.0,root,standard,sel 0 127,sel 0 127
351,obj-167_root,obj-167,message,2,1,785.8597494999999,-227.5,root,standard,0, 127 5000
352,obj-99_root,obj-99,message,2,1,743.5571439999999,-257.0,root,standard,127, 0 2000
353,obj-58_root,obj-58,newobj,3,2,743.5571439999999,-227.5,root,standard,line 1.,line 1.
354,obj-283_root,obj-283,newobj,0,1,439.999985,-259.0,root,standard,r shimFilt2,r shimFilt2
355,obj-378_root,obj-378,newobj,1,1,119.057143,-216.5,root,standard,mute~,mute~
356,obj-377_root,obj-377,newobj,2,1,119.057143,-245.5,root,standard,== 0,== 0
357,obj-369_root,obj-369,newobj,0,1,119.057143,-284.0,root,standard,r harmOnGran,r harmOnGran
